사고ID,데이터구분,연도,사고일자,월,요일,학년,학년급,사고시간_정리,발생시각,사고장소_정리,사고당시활동_정리,사고형태_정리
SAMPLE-00001,합성 예시 데이터,2021,2021-06-16,6,수요일,4,고학년,방과후,16:11,강당·체육관,구기·라켓스포츠,물체에 맞음
SAMPLE-00002,합성 예시 데이터,2025,2025-08-06,8,수요일,6,고학년,1교시,09:01,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-00003,합성 예시 데이터,2025,2025-07-11,7,금요일,4,고학년,점심시간,12:36,교실·학습공간,이동·보행,부딪힘·충돌
SAMPLE-00004,합성 예시 데이터,2024,2024-12-06,12,금요일,5,고학년,하교,17:24,교문·외부동선,교통·탑승,넘어짐
SAMPLE-00005,합성 예시 데이터,2023,2023-09-01,9,금요일,2,저학년,등교 전,07:55,계단·복도,놀이·휴식,기타
SAMPLE-00006,합성 예시 데이터,2025,2025-07-11,7,금요일,4,고학년,방과후,16:25,강당·체육관,이동·보행,넘어짐
SAMPLE-00007,합성 예시 데이터,2024,2024-10-17,10,목요일,6,고학년,방과후,14:33,운동장,구기·라켓스포츠,넘어짐
SAMPLE-00008,합성 예시 데이터,2025,2025-05-19,5,월요일,4,고학년,2교시,09:50,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-00009,합성 예시 데이터,2023,2023-04-24,4,월요일,5,고학년,4교시,11:54,강당·체육관,이동·보행,부딪힘·충돌
SAMPLE-00010,합성 예시 데이터,2022,2022-05-02,5,월요일,5,고학년,5교시,13:31,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00011,합성 예시 데이터,2021,2021-06-09,6,수요일,4,고학년,점심시간,12:51,계단·복도,이동·보행,넘어짐
SAMPLE-00012,합성 예시 데이터,2023,2023-11-20,11,월요일,5,고학년,쉬는시간,10:50,화장실·위생공간,식사·위생,넘어짐
SAMPLE-00013,합성 예시 데이터,2023,2023-05-30,5,화요일,1,저학년,점심시간,12:30,급식·위생공간,식사·위생,넘어짐
SAMPLE-00014,합성 예시 데이터,2023,2023-09-25,9,월요일,2,저학년,3교시,11:14,교실·학습공간,수업·실습,넘어짐
SAMPLE-00015,합성 예시 데이터,2022,2022-12-14,12,수요일,2,저학년,6교시,14:07,강당·체육관,구기·라켓스포츠,넘어짐
